CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
9.9214,9.3287,5.7936,7.6655,10.012,2.3852,2.6732,10.192,2.5955,9.0338,10.006,6.0032,6.3025,6.3202,4.2611,2.1527,8.1613,2.0468
2.448,1.9834,1.5966,2.0492,1.3356,0.86239,0.80508,2.3211,1.6741,1.833,2.3297,4.2701,3.1876,7.0186,1.0599,1.2941,4.2458,0.87088
0.0054893,0.11741,0.8392,0.8175,0.00001791,0.88085,1.6629,0.65797,0.053392,0.028038,1.0127,0.30897,0.29218,2.37E-06,0.73895,1.1104,1.018,0.00035221
0.00076024,1.2523,0.16201,0.91183,0.0058859,1.7365,1.9916,2.6708,0.003884,1.47E-05,1.709,1.3343,0.74078,0.0044621,2.0545,1.9201,0.97655,6.90E-11
0.20058,1.6629,0.91401,1.9386,0.15609,1.4619,1.5826,3.7011,1.8633,0.72983,1.4447,0.15624,1.0534,0.5331,1.651,2.7006,1.9105,0.30901
2.6613,3.0922,2.7719,1.36,1.4343,1.2491,1.805,3.4938,1.5863,2.8459,1.4452,1.4526,3.6644,2.6869,1.4317,1.4768,4.9568,1.4309
3.2577,6.3171,1.7206,2.4965,1.8068,1.7002,2.0838,5.3819,1.4328,5.1912,1.4804,2.5788,3.1055,2.6435,1.0908,2.5031,5.4835,1.6617
4.8256,5.4343,4.4636,2.7211,6.4123,2.5865,3.7101,5.5144,2.1772,8.263,5.2249,3.9937,3.4897,3.0507,3.1798,4.1447,5.9425,2.5797
8.5183,6.8956,5.6428,7.588,7.731,6.1022,6.0019,6.6917,7.521,21.66,4.3384,5.3479,3.9123,16.248,5.1157,8.4015,7.0874,4.092
10.939,7.1978,8.2993,9.5334,10.945,9.6733,7.8,7.6671,3.6101,6.0596,6.9576,6.4372,8.0883,11.846,8.5667,7.9683,8.2407,4.4186
10.121,8.2347,7.0866,10.041,6.5995,9.352,11.514,14.329,1.078,6.8572,10.597,11.481,7.5231,9.5682,12.295,13.545,16.524,3.0632
7.2951,9.2425,7.8951,6.9733,2.5645,7.6876,6.3782,9.2027,0.64693,9.6464,8.9377,9.1018,10.036,6.6546,8.0559,8.4671,8.9529,0.65606
6.1987,9.7311,7.8276,10.226,3.3378,2.4185,2.285,9.2401,2.4533,10.112,10.822,5.9493,6.1476,4.0647,2.6545,2.6075,8.7291,2.7874
7.0506,1.2865,2.5403,3.3939,6.267,0.59452,0.66269,4.0823,3.3445,2.0316,5.9001,2.0162,2.924,2.1768,0.43671,1.6544,3.2584,1.833
0.57326,0.08254,1.3548,0.055587,0.059062,0.7931,1.7967,1.6304,2.00E-13,0.019824,0.277,0.76992,0.19107,1.75E-05,0.65121,0.81685,1.172,3.63E-18
0.0042131,1.2312,1.6126,0.8638,0.02117,0.46117,2.9011,1.8362,9.32E-10,0.0013744,0.34709,0.9232,0.20908,0.025737,1.9848,1.503,2.1185,3.95E-18
0.000075356,0.29862,1.2079,2.486,0.24103,1.4501,1.533,2.2448,0.9143,0.062741,1.326,1.1968,1.3868,0.52514,1.9919,1.832,1.9127,3.23E-17
0.065966,1.0309,1.9616,1.54,1.8134,1.4613,1.6847,3.6095,2.2963,2.5365,1.6793,2.2998,0.98126,1.1536,1.5161,2.1242,5.579,0.18129
4.455,4.1088,6.5716,4.0045,2.3317,1.7471,1.9894,4.7445,1.1124,3.9472,3.7106,2.4301,3.0159,1.3353,0.45942,2.4026,5.6388,0.92239
11.266,2.9257,1.8314,3.1548,1.7025,3.235,3.0917,7.6123,2.0385,6.8813,3.4611,4.2297,3.7318,4.708,2.9506,5.0569,6.5974,1.7541
10.916,8.1988,3.4352,2.9441,13.361,4.9048,6.4799,6.7009,4.2207,13.847,5.2747,3.2619,6.8194,9.2891,4.1255,10.919,8.0543,3.0456
10.046,4.6501,6.8091,6.6831,5.305,11.44,12.065,9.7342,4.1755,7.2484,17.233,7.8551,5.4087,7.3949,6.2774,9.2674,10.643,1.848
